,Event H-ID,Harmony,Characters(s) in Event H-ID,Characters(s) in Event RecordTitle,Single,Group,Group.Male-dominant,Group.Female-dominant
0,398,Religion,248,"Sahukars, Pooro in Pinjar",1,0,0,0
1,522,Religion,248|445|519,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar|Unknown, mad-woman's child in Pinjar",3,0,0,0
2,523,Religion,248|293|516,"Sahukars, Pooro in Pinjar|Village Women, Unkown in Pinjar|Elders of the Panchayat, Unknown in Pinjar",1,0,1,1
3,631,Religion,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",2,0,0,0
4,977,Religion,816,"The singing group, Unknown in Tamas",0,1,0,0
5,994,Religion,820|816,"Congress Committee Member (part of singing group), Bakshi in Tamas|The singing group, Unknown in Tamas",1,1,0,0
6,1034,Religion|Gender|Caste,1030|1031,"Rakha, Allah in Tamas|Daughter of Chaprasi's Pandit, Prakasho in Tamas",2,0,0,0
7,1254,Religion,185|963|618|619|965|966|628,"Servant to Murad Ali, Nathu in Tamas|Sahib, Mahmud in Tamas|Congress Committee secretary, Bakhshi in Tamas|Ahmad, Congress Committee Member, Aziz in Tamas|Congress Committee Member, Hakim Ji in Tamas|Congress President, Maulana Azad in Tamas|Congress Committee Member (part of singing group), The General in Tamas",7,0,0,0
8,1315,Religion,225|91|657|186,"Group of muslim men with Ramzan, Unknown in Tamas|Ali, Ramzan in Tamas|Singh, Iqbal in Tamas|Deen, Noor in Tamas",3,0,1,0
9,1323,Religion,91|186|225|657|1322,"Ali, Ramzan in Tamas|Deen, Noor in Tamas|Group of muslim men with Ramzan, Unknown in Tamas|Singh, Iqbal in Tamas|Mullah from the Mosque, Unknown in Tamas",4,0,1,0
10,1325,Religion,225|91|657|692,"Group of muslim men with Ramzan, Unknown in Tamas|Ali, Ramzan in Tamas|Singh, Iqbal in Tamas|Village Elder, Unknown in Tamas",3,0,1,0
11,1405,Religion,998,"Baksh, Mullah Imam in Train to Pakistan",1,0,0,0
12,1406,Religion,758,"Singh, Meet in Train to Pakistan",1,0,0,0
13,1408,Religion,998|758|768|757|759|760|698,"Baksh, Mullah Imam in Train to Pakistan|Singh, Meet in Train to Pakistan|Singh, Banta in Train to Pakistan|Young Villager, Unknown in Train to Pakistan|Father of Young Villager, Unknown in Train to Pakistan|Policeman 1 (Gurudwara), Unknown in Train to Pakistan|Men from Mano-Majra, Unknown in Train to Pakistan",6,0,1,0
