Event H-ID,Start page event,Page Event Number,Line,Harmony,Characters(s) in Event H-ID,Characters(s) in Event RecordTitle,Text pointer H-ID,Text pointer RecordTitle,Individual,Group
5456,154,2,After alighting at the Barnala bus stand,Nation|Religion,5358|5359|5379,"Ahmad, Bashir in Azaan|Musali, Fattu in Azaan|Singh, Harnam in Azaan",5357,Azaan,3,0
5458,155,1,At high noon they were pushing the cart through,Religion,5358|5359|5380,"Ahmad, Bashir in Azaan|Musali, Fattu in Azaan|Mulla, Unknown in Azaan",5357,Azaan,3,0
5460,155,2,"‘Sat Sri Akal, Sardar Harnam Singh ji",Religion,5379|5358|5359,"Singh, Harnam in Azaan|Ahmad, Bashir in Azaan|Musali, Fattu in Azaan",5357,Azaan,3,0
3661,64,2,"The sunshine from the balcony warmed my bed, and someone",Interpersonal|Religion,3603|3608|3605,"Narrator, Unknown in Gul Mohammad Third-Timer|Narrator's mother, Unknown in Gul Mohammad Third-Timer|Mohammad, Gul Mohammad's Father in Gul Mohammad Third-Timer",3584,Gul Mohammad Third-Timer,3,0
4627,90,3,"Before the historic Gandhi-Jinnah meeting,",Religion,4206,"Azad, Mohammad Hanif in Jinnah Sahib",4204,Jinnah Sahib,4,1
4803,67,1,It was our first afternoon in the new house,Religion,4755|4416|4749|4776,"Narrator, Unknown in Of One Community|Narrator's Mother, Unknown in Sikhism|Narrator's Wife, Simran in Of One Community|Hussain's Wife, Unknown in Of One Community",4746,Of One Community,4,0
4804,70,1,At about a quarter to six in the evening,Religion,4755|4749|4416|4776|4754,"Narrator, Unknown in Of One Community|Narrator's Wife, Simran in Of One Community|Narrator's Mother, Unknown in Sikhism|Hussain's Wife, Unknown in Of One Community|Hussain, Shaukat in Of One Community",4746,Of One Community,5,0
2819,2,1,The women of the village brought cowdung and made an idol in her courtyard.,Religion,248,"Sahukars, Pooro in Pinjar",37,Pinjar,2,1
398,23,3,she came to the well used by the Muslims,Religion,248,"Sahukars, Pooro in Pinjar",37,Pinjar,1,0
522,35,2,The news spread in the village like the morning mist.,Religion,248|445|519,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar|Unknown, mad-woman's child in Pinjar",37,Pinjar,3,0
523,36,1,The women came and blessed Hamida,Religion,248|293|516,"Sahukars, Pooro in Pinjar|Village Women, Unkown in Pinjar|Elders of the Panchayat, Unknown in Pinjar",37,Pinjar,1,2
631,50,4,Her palms were still on her eyes when,Religion,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",37,Pinjar,2,0
2908,57,1,She spotted Ram Chand in the midst of the crowd,Interpersonal|Religion,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",37,Pinjar,2,0
2909,57,2,Hamida told her husband that she meant,Religion,297|248|574,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar|Young Refugee Girl, Unknown in Pinjar",37,Pinjar,3,0
3004,64,2,he often used to say that Allah was her step-father or she the step-daughter of Isvara,Religion,317,"Hasan, Laila in Sunlight on a Broken Column",37,Pinjar,1,0
